"Num","Price","Size","Type","C","T","Bid","Offer","Time","Buy","Sell","?","Buy %","T.Buy","T.Sell","T.?"
"1","792.858","1237","O"," "," ","790.0","793.0","07:17:17"," "," ","1,237","0|0|100"," "," ","1,237"
"2","791.0","730","UT"," "," ","790.0","793.0","08:00:25"," ","730"," ","0|37|63"," ","730","1,237"
"3","789.1","9","O"," "," ","786.0","791.0","08:00:36","9"," "," ","0|36|64","9","730","1,237"
"4","786.409","240","O"," "," ","786.0","791.0","08:00:37"," ","240"," ","0|43|57","9","970","1,237"
"5","786.409","497","O"," "," ","786.0","791.0","08:00:37"," ","497"," ","0|54|46","9","1,467","1,237"
"6","789.1","530","O"," "," ","786.0","791.0","08:00:53","530"," "," ","16|45|39","539","1,467","1,237"
"7","790.95","328","O"," "," ","786.0","791.0","08:02:01","328"," "," ","24|41|35","867","1,467","1,237"
"8","787.246","1398","O"," "," ","787.0","790.0","08:36:06"," ","1,398"," ","17|57|26","867","2,865","1,237"
"9","787.246","208","O"," "," ","787.0","790.0","09:01:45"," ","208"," ","16|59|25","867","3,073","1,237"
"10","787.3","3","O"," "," ","787.0","790.0","09:01:59"," ","3"," ","16|59|25","867","3,076","1,237"
"11","788.849","1128","O"," "," ","787.0","790.0","09:02:44","1,128"," "," ","31|48|21","1,995","3,076","1,237"
"12","789.0","6400","O"," "," ","788.0","790.0","09:07:00"," "," ","6,400","15|24|61","1,995","3,076","7,637"
"13","789.0","600","O"," "," ","788.0","790.0","09:07:07"," "," ","600","14|23|63","1,995","3,076","8,237"
"14","789.2","1367","O"," "," ","788.0","790.0","09:07:10","1,367"," "," ","22|20|58","3,362","3,076","8,237"
"15","790.0","42","AT"," "," ","789.0","790.0","09:10:48","42"," "," ","23|20|57","3,404","3,076","8,237"
"16","789.596","1266","O"," "," ","789.0","790.0","09:19:08","1,266"," "," ","29|19|52","4,670","3,076","8,237"
"17","789.0","80","AT"," "," ","789.0","790.0","09:19:29"," ","80"," ","29|19|52","4,670","3,156","8,237"
"18","789.0","292","AT"," "," ","789.0","790.0","09:19:29"," ","292"," ","28|21|51","4,670","3,448","8,237"
"19","789.0","91","AT"," "," ","789.0","790.0","09:19:41"," ","91"," ","28|21|51","4,670","3,539","8,237"
"20","788.22","355","O"," "," ","788.0","790.0","09:27:44"," ","355"," ","27|23|50","4,670","3,894","8,237"
"21","789.1","1511","O"," "," ","788.0","790.0","09:36:31","1,511"," "," ","33|21|46","6,181","3,894","8,237"
"22","789.0","400","O"," "," ","788.0","790.0","10:01:40"," "," ","400","33|20|47","6,181","3,894","8,637"
"23","789.0","377","O"," "," ","788.0","790.0","10:02:13"," "," ","377","32|20|48","6,181","3,894","9,014"
"24","789.0","1008","O"," "," ","788.0","790.0","10:02:43"," "," ","1,008","30|19|51","6,181","3,894","10,022"
"25","788.225","260","O"," "," ","788.0","790.0","10:14:34"," ","260"," ","30|20|50","6,181","4,154","10,022"
"26","789.0","1290","O"," "," ","788.0","790.0","10:17:20"," "," ","1,290","28|19|53","6,181","4,154","11,312"
"27","788.225","985","O"," "," ","788.0","790.0","10:22:07"," ","985"," ","27|22|51","6,181","5,139","11,312"
"28","788.22","117","O"," "," ","788.0","790.0","10:26:13"," ","117"," ","27|23|50","6,181","5,256","11,312"
