Date,Open,High,Low,Close,Volume
20/07/2001,385,385,365,365,627517
23/07/2001,365,365,342,348,3442289
24/07/2001,342,342,332,332,849335
25/07/2001,325,325,310,320,1863161
26/07/2001,324,324,317,321,1484892
27/07/2001,322,337,322,334,4086614
30/07/2001,338,340,335,340,720974
31/07/2001,340,343,340,342,455772
01/08/2001,344,346,344,346,441922
02/08/2001,350,356,350,356,685744
03/08/2001,354,357,354,356,284507
06/08/2001,354,354,353,353,616136
07/08/2001,352,354,350,350,856392
08/08/2001,353,360,349,360,750479
09/08/2001,358,363,355,363,1303859
10/08/2001,365,367,362,363,1071258
13/08/2001,362,368,362,367,422638
14/08/2001,368,373,368,371,975211
15/08/2001,370,370,364,364,936977
16/08/2001,367,367,365,365,171068
17/08/2001,365,375,365,369,1000103
20/08/2001,369,370,365,365,285953
21/08/2001,368,372,367,370,1365422
22/08/2001,370,373,369,370,2085135
23/08/2001,370,370,368,368,1832566
24/08/2001,368,368,368,368,908527
28/08/2001,365,367,365,367,638855
29/08/2001,365,365,357,362,1028898
30/08/2001,359,359,355,358,1361558
31/08/2001,355,359,355,359,1376380
03/09/2001,360,360,357,358,448868
04/09/2001,357,358,355,358,1482338
05/09/2001,360,360,355,355,6187219
06/09/2001,355,357,354,354,1826431
07/09/2001,354,354,344,344,5266484
10/09/2001,345,345,342,344,3075202
11/09/2001,343,346,315,315,907300
12/09/2001,315,325,305,322,1819767
13/09/2001,330,335,322,333,937195
14/09/2001,320,335,315,315,2630590
17/09/2001,312,312,300,307,1317850
18/09/2001,300,304,292,304,2560236
19/09/2001,300,302,299,301,1207450
20/09/2001,290,295,280,283,884463
21/09/2001,270,305,252,292,7320973
24/09/2001,290,293,290,292,3139826
25/09/2001,295,304,292,302,1399101
26/09/2001,297,304,297,303,948674
27/09/2001,304,307,301,307,1405265
28/09/2001,310,340,308,338,2818420
01/10/2001,332,332,330,331,680610
02/10/2001,324,332,324,330,1468838
03/10/2001,330,333,330,332,776228
04/10/2001,331,333,328,328,1418931
05/10/2001,330,332,330,332,308290
08/10/2001,332,332,328,328,975900
09/10/2001,332,332,330,330,253769
10/10/2001,330,332,328,328,400331
11/10/2001,330,333,330,332,817507
12/10/2001,330,345,330,345,286883
15/10/2001,338,345,338,345,318445
16/10/2001,340,347,340,347,627383
17/10/2001,335,344,330,344,1226312
18/10/2001,347,349,344,347,251009
19/10/2001,347,348,345,346,788522
22/10/2001,342,346,342,345,409553
23/10/2001,341,344,340,342,110932
24/10/2001,342,347,342,342,1198790
25/10/2001,342,347,342,346,359472
26/10/2001,346,350,346,348,231651
29/10/2001,347,350,337,337,1990204
30/10/2001,335,342,332,342,341374
31/10/2001,343,356,343,347,708183
01/11/2001,347,354,347,351,290718
02/11/2001,345,355,345,351,538088
05/11/2001,355,365,355,362,606294
06/11/2001,370,379,366,373,1975559
07/11/2001,367,374,367,372,782428
08/11/2001,375,386,375,383,1755097
09/11/2001,380,383,375,381,1414082
12/11/2001,373,375,368,370,124453
13/11/2001,373,375,370,371,247190
14/11/2001,370,386,370,380,1436722
15/11/2001,380,383,378,380,1347910
16/11/2001,380,390,379,390,1818084
19/11/2001,390,399,390,399,974471
20/11/2001,395,399,382,383,594973
21/11/2001,399,399,389,390,548662
22/11/2001,390,390,385,385,493549
23/11/2001,385,385,379,380,414984
26/11/2001,385,385,380,381,203057
27/11/2001,385,385,376,379,169720
28/11/2001,380,380,377,379,212636
29/11/2001,375,380,371,371,268337
30/11/2001,372,372,362,368,509188
03/12/2001,371,382,369,369,396375
04/12/2001,370,370,366,367,824341
05/12/2001,372,403,372,400,4935527
06/12/2001,392,405,392,405,851044
07/12/2001,395,400,395,400,90014
10/12/2001,396,408,396,407,433299
11/12/2001,396,415,395,415,1078307
12/12/2001,408,416,408,416,2615528
13/12/2001,419,419,412,414,1276264
14/12/2001,408,410,407,409,137699
17/12/2001,400,410,400,403,282169
18/12/2001,402,413,402,405,512659
19/12/2001,403,422,403,415,565677
20/12/2001,418,424,415,418,310646
21/12/2001,421,422,415,415,287824
27/12/2001,408,410,408,410,20700
28/12/2001,410,424,410,424,61084
31/12/2001,424,424,411,422,203192
02/01/2002,425,425,420,422,140237
03/01/2002,423,423,416,416,64260
04/01/2002,417,417,412,412,1094068
07/01/2002,414,424,414,421,604534
08/01/2002,417,422,417,418,331384
09/01/2002,417,424,415,424,1600119
10/01/2002,418,418,418,418,148883
11/01/2002,420,422,419,421,1060647
14/01/2002,421,422,421,421,257633
15/01/2002,422,422,421,421,264482
16/01/2002,421,430,421,425,1029042
17/01/2002,430,434,427,434,565331
18/01/2002,435,436,427,427,196225
21/01/2002,430,432,426,432,234101
22/01/2002,434,436,430,430,174951
23/01/2002,428,429,426,428,2108009
24/01/2002,426,429,425,427,1541477
25/01/2002,423,423,405,407,1578709
28/01/2002,402,415,400,411,417892
29/01/2002,420,420,415,415,734003
30/01/2002,413,417,413,415,102377
31/01/2002,413,413,410,410,126673
01/02/2002,410,410,404,405,382661
04/02/2002,402,406,402,405,983598
05/02/2002,402,402,397,400,1449736
06/02/2002,403,406,402,406,556337
07/02/2002,405,405,403,404,1150991
08/02/2002,403,405,402,405,1520946
11/02/2002,407,410,407,409,1243782
12/02/2002,409,409,406,408,1392816
13/02/2002,405,406,403,403,1293338
14/02/2002,404,404,398,398,657733
15/02/2002,402,402,398,398,46771
18/02/2002,399,401,399,401,924633
19/02/2002,401,403,400,401,3494304
20/02/2002,405,405,400,403,362965
